days_for_graph,month,day,hour,sd_obs,sd_calc,nsr_ice,nlr_ice,sh_ice,lh_ice,melt_ice,nsr_cryo,nlr_cryo,sh_cryo,lh_cryo,melt_cryo,cryo_angle,solar_angle,d_nsr,d_nlr,d_sh,d_lh,d_melt,cryoconite_depth,sr,sr_direct,sr_diffuse,src_direct,src_diffuse,t_direct,t_diffuse,k_direct,k_diffuse
   189.000000     ,           7 ,           8 ,           1 ,  -1.99999958E-02 ,   0.00000000     ,   110.403404     ,  -71.1999817     ,   76.4950790     ,   5.07726526     ,   0.00000000     ,   75.9867401     ,  -1.32272339     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136725500     ,   1.39600778     ,  -34.4166641     ,   69.8772583     ,  -76.4950790     ,  -5.07726526     ,   0.00000000     ,   149.000000     ,   178.070007     ,   43.4394989     ,   134.630508     ,   16.8415546     ,   67.5881577     ,  0.387701392     ,  0.492600799     ,   1.10929668     ,   4.79481363    
   189.041672     ,           7 ,           8 ,           2 ,  -1.99999958E-02 ,   0.00000000     ,   95.7775955     ,  -71.1299896     ,   74.7620926     ,   5.80169010     ,   0.00000000     ,   65.9660492     ,  -1.32144165     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136725500     ,   1.37635529     ,  -29.8115463     ,   69.8085480     ,  -74.7620926     ,  -5.80169010     ,   0.00000000     ,   149.000000     ,   154.479996     ,   40.6856613     ,   113.794334     ,   16.4353657     ,   56.8602448     ,  0.403959632     ,  0.490204751     ,   1.17952156     ,   4.82990503    
   189.083328     ,           7 ,           8 ,           3 ,  -1.99999958E-02 ,   0.00000000     ,   59.9539986     ,  -69.8099976     ,   76.5099182     ,   5.76039219     ,   0.00000000     ,   41.6136894     ,  -1.29690552     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136725500     ,   1.34493184     ,  -18.3403091     ,   68.5130920     ,  -76.5099182     ,  -5.76039219     ,   0.00000000     ,   149.000000     ,   96.6999969     ,   26.9503860     ,   69.7496109     ,   11.5146885     ,   34.7227440     ,  0.427255034     ,  0.488313973     ,   1.28309000     ,   4.85759687    
   189.125000     ,           7 ,           8 ,           4 ,  -1.99999958E-02 ,   0.00000000     ,   75.3082962     ,  -68.8500061     ,   80.0348282     ,   10.4712763     ,   0.00000000     ,   52.7080002     ,  -1.27908325     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136725500     ,   1.30363107     ,  -22.6002960     ,   67.5709229     ,  -80.0348282     ,  -10.4712763     ,   0.00000000     ,   149.000000     ,   121.464996     ,   36.6327705     ,   84.8322296     ,   16.5683365     ,   41.9961090     ,  0.452281833     ,  0.485490620     ,   1.41200101     ,   4.89894676    
   189.166672     ,           7 ,           8 ,           5 ,  -1.99999958E-02 ,   0.00000000     ,   90.6625977     ,  -68.5000000     ,   76.8044281     ,   7.88244200     ,   0.00000000     ,   64.2895355     ,  -1.27258301     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136725500     ,   1.25493360     ,  -26.3730621     ,   67.2274170     ,  -76.8044281     ,  -7.88244200     ,   0.00000000     ,   149.000000     ,   146.229996     ,   45.8425865     ,   100.387405     ,   21.8808193     ,   49.5520058     ,  0.477303326     ,  0.484022141     ,   1.54930341     ,   4.92045307    
   189.208328     ,           7 ,           8 ,           6 ,  -1.99999958E-02 ,   0.00000000     ,   106.745399     ,  -68.6999969     ,   70.8438644     ,   3.37789369     ,   0.00000000     ,   76.6184006     ,  -1.27627563     ,   0.00000000     ,   0.00000000     ,   0.00000000     ,  0.136725500     ,   1.20179331     ,  -30.1269989     ,   67.4237213     ,  -70.8438644     ,  -3.37789369     ,   0.00000000     ,   149.000000     ,   172.169998     ,   56.2619820     ,   115.908012     ,   28.1048698     ,   57.0266953     ,  0.499535739     ,  0.482383490     ,   1.68880057     ,   4.94445229    
   189.250000     ,           7 ,           8 ,           7 ,  -1.99999958E-02 ,   0.00000000     ,   125.388802     ,  -69.6599884     ,   68.1200027     , -0.430557251     ,   0.00000000     ,   91.0314484     ,  -1.29412842     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,  0.136725500     ,   1.14753652     ,  -34.3573532     ,   68.3658600     ,  -68.1200027     ,  0.430557251     ,   0.00000000     ,   149.000000     ,   202.240005     ,   68.1286774     ,   134.111328     ,   35.3271370     ,   65.8189240     ,  0.518535495     ,  0.481139064     ,   1.82023287     ,   4.96267700    
   189.291672     ,           7 ,           8 ,           8 ,  -1.99999958E-02 ,   1.57223537E-03 ,   144.032196     ,  -71.2500153     ,   63.4300079     ,  -5.08775234     ,   131.124435     ,   105.525116     ,  -1.32366943     ,   0.00000000     ,  -0.00000000     ,   104.201447     ,  0.136725500     ,   1.09575725     ,  -38.5070801     ,   69.9263458     ,  -63.4300079     ,   5.08775234     ,  -26.9229889     ,   148.677185     ,   232.309998     ,   81.2170639     ,   151.092941     ,   43.3299332     ,   73.9201965     ,  0.533507764     ,  0.479568183     ,   1.93956184     ,   4.98568439    
   189.333328     ,           7 ,           8 ,           9 ,  -2.99999937E-02 ,   3.79526755E-03 ,   204.717804     ,  -72.7700043     ,   66.9754181     ,  -13.5223303     ,   185.400894     ,   151.151047     ,  -1.35763550     ,   0.00000000     ,  -0.00000000     ,   149.793411     ,  0.137018666     ,   1.05017138     ,  -53.5667572     ,   71.4123688     ,  -66.9754181     ,   13.5223303     ,  -35.6074829     ,   148.250244     ,   330.190002     ,   120.040421     ,   210.149582     ,   65.4093246     ,   102.536301     ,  0.544894159     ,  0.478185147     ,   2.04336214     ,   5.01697540    
   189.375000     ,           7 ,           8 ,          10 ,  -2.99999937E-02 ,   6.39492087E-03 ,   247.119598     ,  -76.4199982     ,   59.2235413     ,  -13.1120567     ,   216.811081     ,   183.297485     ,  -1.43383789     ,   0.00000000     ,  -0.00000000     ,   181.863647     ,  0.137408316     ,   1.01437199     ,  -63.8221130     ,   74.9861603     ,  -59.2235413     ,   13.1120567     ,  -34.9474335     ,   147.831207     ,   398.579987     ,   156.251846     ,   242.328140     ,   86.1432648     ,   117.520615     ,  0.551310360     ,  0.475116640     ,   2.13440776     ,   5.07673120    
